NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT07064603,Clinical Evaluation of (TCAF) Versus (CAF) Combined With Connective Tissue Graft in the Treatment of Multiple RT2 Gingival Recession Sites,https://clinicaltrials.gov/study/NCT07064603,,NOT_YET_RECRUITING,"the aim of the study is to evaluate the changes in gingival recession depth reduction following, treatment of multiple RT2 recession with tunnel coronal advanced flap in comparison to coronal advanced flap, both combined with connective tissue graft",NO,"Gingival Recession, Plastic Surgery",PROCEDURE: TCAF,"Gingival recession depth reduction (GRD), ONE YEAR","Percentage of mean root coverage (MRC %), one year|Percentage of complete root coverage (CRC%), one year|Gingival Recession width, one year|Keratinized tissue width (KTW), oneyear|Probing pocket depth, one year|Root coverage esthetic score, on year|Volumetric soft tissue changes, one year|Post-operative pain, will be measured using VAS score, 2 Week post-operative|Post-operative patient satisfaction, will be measured using questioner, one year",,Cairo University,,ALL,"ADULT, OLDER_ADULT",NA,22,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT,2025-17-1,2025-10-01,2026-12-01,2026-12-01,2025-07-14,,2025-07-14,,
NCT07064590,Physiological Effects of Frontopolar TMS in Alcohol Craving,https://clinicaltrials.gov/study/NCT07064590,TMS-SUD,RECRUITING,"Alcohol dependence is a prevalent and debilitating condition characterized by a chronic inability to control alcohol consumption. Current treatment options offere limited efficacy, and there is a pressing need for innovative approaches. Continuous Theta Burst Stimulation (cTBS) is a form of transcranial magnetic stimulation (TMS) that has shown promise in modulating brain activity associated with craving and addiction. This study aims to explore the effects of cTBS over the left frontopolar cortex on neurobiological and physiological markers of craving in patients with alcohol dependence induced by virtual reality (VR) alcohol cue exposure. Additionally, this study aims to investigate the relationship between changes in physiological craving markers and baseline brain connectivity. The investigators hypothesize that cTBS TMS treatment will reduce physiological markers of craving in patients with alcohol dependence. Additionally, it is expected that baseline structural and functional connectivity will predict the degree of VR-induced heart rate increase after cTBS, providing insights into individual brain network variability in the effect of cTBS.",NO,Alcohol Addiction,DEVICE: Transcranial Magnetic Stimulation (TMS),"Changes in heart rate (beats per minute) during virutal reality (VR) alcohol cue exposure before and after TMS intervention, Changes in heart rate (BPM) during VR-based craving induction, measured before and after the TMS intervention. Heart rate is continuously recorded during VR alcohol cue exposure using a finger clip sensor. Mean, maximum, and minimum values are analyzed to assess physiological craving responses., Day 1 (pre-TMS, during VR alcohol cue exposure) and Day 5 (post-TMS, during VR alcohol cue exposure)","Changes in skin conductance (µS) during Virtual reality alcohol cue exposure, Changes in skin conductance (µS) during VR-based craving induction, measured before and after the TMS intervention. Skin conductance is continuously recorded during VR alcohol cue exposure using a finger clip sensor. Mean, maximum, and minimum values are analyzed to assess physiological craving responses., Day 1 (pre-TMS, during VR alcohol cue exposure) and Day 5 (post-TMS, during VR alcohol cue exposure)|Changes in skin temperature (°C) during Virtual reality alcohol cue exposure, Changes in skin temperature (°C) during VR-based craving induction, measured before and after the TMS intervention. Skin temperature is continuously recorded during VR alcohol cue exposure using a finger clip sensor. Mean, maximum, and minimum values are analyzed to assess physiological craving responses., Day 1 (pre-TMS, during VR alcohol cue exposure) and Day 5 (post-TMS, during VR alcohol cue exposure)|Changes in in self-reported craving during VR exposure using Visual Analogue Scale, Change in subjective craving ratings before and after each VR alcohol cue exposure, assessed using a 100-point Visual Analogue Scale (VAS), where higher scores indicate greater craving intensity. The minium score equals 0 and the maximum score equals 100. VAS ratings are obtained immediately before and immediately after each VR session., Day 1 (pre-TMS; pre-VR and post-VR) and Day 5 (post-TMS; pre-VR and post-VR)|Changes in self-reported craving following TMS intervention assessed with Mannheimer Craving Scale (MaCS), Changes in self-reported craving levels before and after the 5-day TMS intervention, assessed via the standardized questionnaires MaCS, where higher scores indicate greater craving intensity. The minium score equals 0 and the maximum score equals 348., At baseline (Pre-TMS) and on day 5 (post-TMS)|Changes in self-reported craving following TMS intervention assessed with Penn Alcohol Craving Scale (PACS), Changes in self-reported craving levels before and after the 5-day TMS intervention, assessed via the standardized questionnaires PACS, where higher scores indicate greater craving intensity. The minimum score equals 0 and the maximum score equals 30., At baseline (Pre-TMS) and on day 5 (post-TMS)|Changes in self-reported craving following TMS intervention assessed via Craving-Automatized-Scale-Alcohol (CAS-A), Changes in self-reported craving levels before and after the 5-day TMS intervention, assessed via the standardized questionnaires CAS-A, where higher scores indicate greater craving intensity. The minimum score equals 0 and the maximum score equals 75., At baseline (Pre-TMS) and on day 5 (post-TMS)|Correlation between baseline brain connectivity and changes in heart rate (BPM) increase during VR, Correlation between baseline structural and functional brain connectivity (as assessed via MRI prior to TMS) and the increase in heart rate during VR craving induction. Connectivity data are derived using diffusion-weighted imaging and resting-state fMRI, processed via CATO and analyzed using network-based statistics., MRI and therefore structural and functional connectivity is assessed at baseline (day 0) and heart rate change during VR sessions before TMS intervention on day 1 and after the TMS intervention on day 5",,Goethe University,,ALL,"ADULT, OLDER_ADULT",NA,34,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,2024-2021,2025-05-16,2027-05,2027-05,2025-07-14,,2025-07-14,"Klinik und Poliklinik für Psychiatrie, Psychosomatik und Psychotherapie Universitätsklinikum Frankfurt, Goethe-Universität, Frankfurt am Main, Hessen, 60528, Germany|Klinik und Poliklinik für Psychiatrie, Psychosomatik und Psychotherapie Universitätsklinikum Frankfurt, Goethe-Universität, Frankfurt am Main, Hessen, 60528, Germany",
NCT07064577,Novel ROS-scavenging Nanoenzymes for the Treatment of Radiation Dermatitis in Patients With Head and Neck Cancer,https://clinicaltrials.gov/study/NCT07064577,,NOT_YET_RECRUITING,"There is no standard treatment for radiation dermatitis. In this study, we have designed novel ROS-scavenging nanoenzymes and aim to evaluate their effectiveness in preventing radiation dermatitis in patients with head and neck cancer.",NO,Radiation Dermatitis,DRUG: ROS-scavenging Nanoenzymes|BEHAVIORAL: Standard of care,"The incidence of grade 2 or higher radiation dermatitis, Patients are assessed weekly for radiation dermatitis by an experienced radiation oncology nurse according to the Radiation Therapy Oncology Group (RTOG) criteria., From the start of radiotherapy to 2 weeks after completion of radiotherapy.","The maximum skin toxicity, The maximum grade of RTOG skin toxicity between 0 and 4., From the start of radiotherapy to 2 weeks after completion of radiotherapy.",,West China Hospital,,ALL,"ADULT, OLDER_ADULT",NA,30,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,2024-134-1,2025-07-15,2025-09-15,2025-10-15,2025-07-14,,2025-07-14,,
NCT07064564,A Phase 1b Study Comparing the Pharmacokinetics and Safety of Low- and High-Dose BIOPIN Naltrexone Implants With Monthly Vivitrol Injections in Healthy Volunteers Over 12 Months,https://clinicaltrials.gov/study/NCT07064564,BIOPIN 101b,NOT_YET_RECRUITING,"This is a Phase 1b clinical study testing a new extended-release implant that delivers naltrexone, a medication used to treat opioid use disorder (OUD). The investigational product is called BIOPIN. It is a small implant that is inserted just under the skin of the thigh and slowly releases medication over many months. The goal of the study is to see what the blood levels of naltrexone are from two different doses of the BIOPIN implant over time and to compare it to blood levels of naltrexone from Vivitrol®, an FDA-approved injectable form of extended-release naltrexone given once a month.

This study will enroll healthy adults between the ages of 18 and 55. Participants will be randomly assigned to receive either a low dose BIOPIN implant, a high dose BIOPIN implant, or monthly Vivitrol injections. All participants will be followed closely for 12 months to monitor medication levels in their blood and assess for any side effects or health changes. The study will help determine if the BIOPIN implant can deliver naltrexone levels that are equal to or higher than those seen with monthly Vivitrol injections, particularly during the times when patients are most vulnerable to relapse.

Participants receiving the BIOPIN implant will have the option of having the implant removed at the end of the study or choosing to continue being observed until the implant fully dissolves, which may take up to two years. Participants who choose extended follow-up will be enrolled in a separate observational study.

This study is sponsored by Drug Delivery Company, LLC, with support from the National Institute on Drug Abuse (NIDA). The clinical research is being overseen by Fast-Track Research, Inc. and reviewed by Advarra IRB. All participants will undergo screening exams to ensure they are healthy and eligible, and they will be closely monitored throughout the study.

The results of this study will help researchers determine the best dose of BIOPIN to move forward into later-stage clinical trials and may support further development of long-acting treatments for opioid use disorder that do not require monthly injections or surgical removal.",NO,Opioid Use Disorder,"DRUG: Naltrexone implant, 14.4 grams|DRUG: Naltrexone implant, 9.6 grams|DRUG: Extended-release naltrexone injection, 380 mg","Average plasma naltrexone concentration on the last day of each 4-week interval through Week 52, The average of plasma naltrexone concentrations measured on the final day of each 4-week period through 12 months. This composite measure is used to assess sustained drug exposure and compare treatment arms., Day 28, 56, 84, 112, 140, 168, 196, 224, 252, 280, 308, and 336","Area Under the Curve (AUC) for Naltrexone, Total systemic exposure to naltrexone, calculated using AUCt and AUC∞ over the full study duration., Day 1 through Week 52|Maximum plasma concentration (Cmax) of naltrexone, Peak concentration observed post-dosing, determined by serial pharmacokinetic sampling., Day 1 through Week 52|Minimum plasma concentration (Cmin) of naltrexone, Lowest concentration between dosing intervals, providing information on potential trough levels., Day 1 through Week 52|Plasma concentration of 6β-naltrexol (naltrexone metabolite), Metabolite levels measured alongside naltrexone to assess metabolism and systemic exposure., Day 1 through Week 52|Number of participants with treatment-emergent adverse events, Number of subjects experiencing adverse events related to study drug or procedures, including local and systemic findings., Day 1 through Week 52|Change in HAM-D17 depression scores from baseline, Captures any occurrence of suicidal thoughts or actions using a validated clinical tool., Baseline, Week 2, Week 4, and Week 24",,"Drug Delivery Company, LLC DBA Akyso Pharmaceuticals","National Institute on Drug Abuse (NIDA)|Cenexel JBR|Fast-Track Drugs & Biologics, LLC|Aliri Bioanalysis|Ardena|Element Analytics",ALL,ADULT,PHASE1,33,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,BIOPIN101b|UH3DA048338,2026-02-01,2027-05-01,2027-07-01,2025-07-14,,2025-07-14,,
NCT07064551,Evaluation Study of Medical-Social Collaboration Model for Middle-aged and Older Adults With Depressive Symptoms,https://clinicaltrials.gov/study/NCT07064551,,RECRUITING,"The goal of this clinical trial is to learn if a medical-social collaboration model works to reduce depressive symptoms in middle-aged and older adults with subsyndromal depressive symptoms who are waiting for their first psychiatric appointment. Secondary outcomes of the study include reduced anxiety symptoms, reduced loneliness, reduced rumination, reduced self-criticism, improved self-reassurance, improved resilience, improved self-efficacy, improved health-related quality of life, as well as improved quality-adjusted life years, and reduced healthcare service utilisation.

Researchers will compare a medical-social collaboration model to a self-management booklet.

Participants will:

* Receive CBT-based stepped-care interventions through the medical-social collaboration model or a self-management booklet.
* Complete a survey about their mental health and service use every three months until their first psychiatric appointment.",NO,Depression,BEHAVIORAL: Cognitive behavioural therapy-based stepped-care intervention|OTHER: Self-management booklet,"Changes in Depressive Symptoms, Patient Health Questionnaire-9, Baseline, 3 months, 6 months, 9 months, 12 months, 15 months, 18 months, 21 months","Changes in Anxiety Symptoms, Generalized Anxiety Disorder 2-item scale, Baseline, 3 months, 6 months, 9 months, 12 months, 15 months, 18 months, 21 months|Changes in Loneliness, UCLA Loneliness Scale, Baseline, 3 months, 6 months, 9 months, 12 months, 15 months, 18 months, 21 months|Changes in Health Service Use, Self-reported use of mental health services and medication in the past three months.

Service data from Hospital Authority, covering information on outpatient visits, hospitalisation days, Accident and Emergency service utilisation, types of medications and operations, and any other major cost items that may be affected by depression with cost implications., Baseline, 3 months, 6 months, 9 months, 12 months, 15 months, 18 months, 21 months|Changes in Health-Related Quality of Life, EQ-5D-5L, Baseline, 3 months, 6 months, 9 months, 12 months, 15 months, 18 months, 21 months","Self-Criticism and Self-Reassurance, Short Form of Forms of Self-Criticizing/Attacking and Self-Reassuring Scale, Baseline, 3 months, 6 months, 9 months, 12 months, 15 months, 18 months, 21 months|Rumination, Ruminative Response Scale - Brooding Subscale, Baseline, 3 months, 6 months, 9 months, 12 months, 15 months, 18 months, 21 months|Resilience, Connor-Davidson Resilience Scale 2-Item, Baseline, 3 months, 6 months, 9 months, 12 months, 15 months, 18 months, 21 months|General Self-Efficacy, Single-item General Self-Efficacy Scale, Baseline, 3 months, 6 months, 9 months, 12 months, 15 months, 18 months, 21 months|Stressful Events, Self-reported stressful events, e.g. illness, death of close relative/friends., Baseline, 3 months, 6 months, 9 months, 12 months, 15 months, 18 months, 21 months|Perceived Neighbourhood Environment, Self-perceived convenience to access leisure, shopping, and community facilities and social and medical services, Baseline, 3 months, 6 months, 9 months, 12 months, 15 months, 18 months, 21 months",The University of Hong Kong,Hospital Authority Hong Kong West Cluster|Hospital Authority Hong Kong East Cluster|Hospital Authority Kolwoon Central Cluster,ALL,"ADULT, OLDER_ADULT",NA,192,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,UW 24-649,2025-08,2027-06,2027-06,2025-07-14,,2025-07-14,"The University of Hong Kong, Hong Kong, Hong Kong",
NCT07064538,Effects of Neuralli® MP on Self-Defined Outcomes in Adults With Autistic Traits,https://clinicaltrials.gov/study/NCT07064538,,NOT_YET_RECRUITING,To evaluate the efficacy of Neuralli® MP in improving participant-defined outcomes in adults with autistic traits.,NO,ASD|Autism|Autistic Disorders Spectrum,DIETARY_SUPPLEMENT: Neuralli® MP,"Goal Attainment Scaling (GAS), GAS is a method that can be used as a means of measuring outcome data from different contexts set out on a 5-point scale of -2 to +2.

It enables the data to be placed on a quantitative measurement scale thus tackling the problem of how to adequately identify and measure qualitative goal impact and attainment. This is very useful as it enables a linking of measures from the frontline to upper levels of an organization's management.

This assessment will be conducted weekly to determine how early the effects of the intervention can be observed., weekly from baseline to week 8","The Autism Behavior Checklist-Taiwan (ABCT), The Checklist scale contains 47 items: 8 items pertaining to sensory (sensation and perception), 11 items to relating (social connection), 12 items pertaining to body and object use (motor activity and rigid object use), 8 items pertaining to language (communication and interaction), and 8 items pertaining to social and self-Help (adaptability and self-care). The scoring method gives 1 point for each ""Yes"" answer. The higher the score, the more severe the autistic behaviors. This scale has favorable content consistency, with a Cronbach α value between 0.75 and 0.87, retest reliability at 0.89. The content validity and reliability of the scale are satisfactory., from baseline to week 4 and week 8|Parent Target Symptom Rating Visual Analogue Scale (PTSVAS), A 100mm horizontal scale will be used to evaluate the descriptions and ratings, with each 10mm segment representing one unit. The scale ranges from ""very good"" or ""completely resolved"" (0) to ""worst"" or ""catastrophic worsening"" (10), with 5 representing no change., from baseline to week 4 and week 8|Quality of Life in Autism Questionnaire (QoLA), The ""Quality of Life in Autism Questionnaire"" (QoLA) is a scale specifically designed for parents or caregivers of children with autism, aiming to assess their quality of life. The questionnaire consists of two parts:

Part A: Evaluates the overall sense of quality of life experienced by the parent or caregiver. This section includes various items such as: ""I feel happy and content"" and ""I am satisfied with my social life."" Part B: Assesses the impact of the child's autism symptoms or characteristics on the parent or caregiver. The items in this section aim to understand how the child's autistic traits affect family life and the parent's daily experiences.

The full questionnaire contains 48 items and is designed to comprehensively evaluate both the quality of life of the parent or caregiver and the impact of the child's autism symptoms on them., from baseline to week 4 and week 8",,Mackay Memorial Hospital,"Bened Biomedical Co., Ltd.",ALL,ADULT,NA,15,OTHER,INTERVENTIONAL,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: SUPPORTIVE_CARE,25CT027be,2025-08-15,2026-06-30,2026-08-31,2025-07-14,,2025-07-14,"Mackay Memorial Hospital, Taipei, Taiwan",
NCT07064525,Evaluate the Efficacy and Safety of SPC1001 Low in Patients With Essential Hypertension,https://clinicaltrials.gov/study/NCT07064525,,ENROLLING_BY_INVITATION,"- Objective: This study aims to evaluate the safety and efficacy of the fixed-dose triple combination therapy (SPC1001 Low) of candesartan, amlodipine, and indapamide in adult patients with essential hypertension compared to dual-component therapies of each ingredient for 8 weeks. Additionally, it seeks to confirm the contribution of each component at low doses.

- Inclusion Criteria: Men and women aged 19 to 75 years whose blood pressure measured at the screening visit meets the following criteria.

- Exclusion Criteria: Patients whose blood pressure measured at the screening and randomization visits meets the criteria of MSSBP ≥180 mmHg or MSDBP ≥110 mmHg, among other conditions.

- Methods: This study is a multicenter, randomized, double-blind, parallel-group, phase 2b clinical trial to evaluate the safety and efficacy of the investigational drug after 8 weeks of administration.

Screening assessments will be conducted within 4 weeks prior to randomization, and patients who meet the inclusion and exclusion criteria at the screening visit will be enrolled in the study after providing informed consent. These participants will undergo a 2-week run-in period during which they will take a placebo and participate in a lifestyle modification program.",NO,Hypertension (HTN)|NYHA Class III Heart Failure|NYHA Class IV Heart Failure|Diabete Mellitus,DRUG: SPC1001 Low|DRUG: SPC5002|DRUG: SPC5003|DRUG: SPC5004,"The primary endpoint was determined by evaluating how mean sitting systolic blood pressure varied between the baseline measurement and week 8, change in MSSBP from baseline at week 8",,,Shin Poong Pharmaceutical Co. Ltd.,,ALL,"ADULT, OLDER_ADULT",PHASE2,252,INDUSTRY,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",SP-CAP-HTN-203,2024-12-05,2025-12-15,2026-02-28,2025-07-14,,2025-07-14,"CHA Gangnam Medical Center, CHA University, Seoul, 06135, Korea, Republic of",
NCT07064512,The Effect of Heat Exposure on Physiological Markers,https://clinicaltrials.gov/study/NCT07064512,,COMPLETED,"This study is the first to examine the effects of core temperature elevation on kynurenine pathway (KP) metabolites in healthy young males. We hypothesized that rise in body temperature due to both pasive heating and exercise will initiate a stress response, affecting the concentration of KP metabolites. Additionally, we expected that the exercise would produce more pronounced effects due to the increased cardiovascular, mechanical, and metabolic demands associated with it. Thus, the the main purpose of the present study was to investigate and to compare the effects of two distinct heat stress modalities on KP metabolites.",NO,Healthy Adult Male,OTHER: Endogenous heating|OTHER: Exogenous heating,"Change in plasma metabolites of the kynurenine pathway (μm), An ultra-performance liquid chromatography-tandem mass spectrometry system (UPLC-MS/MS) was used to measure venous plasma levels of tryptophan, kynurenine, kynurenic acid, 3-hydroxy-kynurenine, quinolinic acid, nicotinamide and picolinic acid (in μm). The UPLC-MS/MS system uses a Xevo TQ-XS triple quadrupole mass spectrometer (Waters) with a Z-spray electrospray interface, and the system operates in electrospray positive multiple reaction monitoring mode., Day 1 (every 0.5 °C until rectal temperature (Trec) reached 39°C, followed by a recovery phase until Trec reached 37.5°C)|Rectal temperature (°C), Rectal temperature (in °C) was measured using a thermocouple (Rectal Probe, Ellab, Denmark) inserted to a depth of 12 cm past the anal sphincter., Day 1 (during both heating modalities until Tre reached 39°C, followed by a recovery phase until Trec reached 37.5°C)|Change in heart rate (bpm), Heart rate (in bpm) was recorded using a heart rate sensor with a chest strap (Polar, Finland)., Day 1 (during both heating modalities until Tre reached 39°C, followed by a recovery phase until Trec reached 37.5°C)|Change in physiological strain index, A physiological strain index (PSI) was used to indicate heat strain. PSI = 5 x (Tret - Tre0) x (39.5 - Tre0)\^-1+ 5 x (HRt - HR0) x (180 - HR0)\^-1, where rectal temperature (Tre) t and heart rate (HR) t are simultaneous measurements taken every 0.5°C of the heat exposure and Tre0 and HR0 are the initial measurements., Day 1 (every 0.5 °C until rectal temperature (Trec) reached 39°C, followed by a recovery phase until Trec reached 37.5°C)|Change in glucose (mmol/L), The glucose concentration (in mmol/L) was measured using an automatic blood glucose meter Glucocard X-mini-Plus (Arkray Inc, Japan)., Day 1 (every 0.5 °C until rectal temperature (Trec) reached 39°C, followed by a recovery phase until Trec reached 37.5°C)|Change in lactate (mmol/L), The lactate concentration (in mmol/L) was measured using an Accutrend Plus System (Roche, Germany)., Day 1 (every 0.5 °C until rectal temperature (Trec) reached 39°C, followed by a recovery phase until Trec reached 37.5°C)|Changes in prolactin concentration (ng/mL), The venous prolactin (in ng/mL) was measured using enzyme-linked immunosorbent assay kit and a Spark multimode microplate reader (Tecan, Austria)., Day 1 (every 0.5 °C until rectal temperature (Trec) reached 39°C, followed by a recovery phase until Trec reached 37.5°C)|Changes in catecholamines concentration (ng/mL), The venous adrenaline and noradrenaline concentrations (in ng/mL) was measured using enzyme-linked immunosorbent assay kits and a Spark multimode microplate reader (Tecan, Austria)., Day 1 (every 0.5 °C until rectal temperature (Trec) reached 39°C, followed by a recovery phase until Trec reached 37.5°C)|Changes in salivary cortisol concentration (µg/dL), The saliva samples was collected to measure cortisol level (in µg/dL) using an ELISA kits and a Spark multimode microplate reader (Tecan, Austria)., Day 1 (every 0.5 °C until rectal temperature (Trec) reached 39°C, followed by a recovery phase until Trec reached 37.5°C)",,,Lithuanian Sports University,,MALE,ADULT,NA,11,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: BASIC_SCIENCE,LithuananianSportsU-24,2021-01-11,2021-03-12,2021-03-12,2025-07-14,,2025-07-14,"Lithuanian Sports University, Kaunas, Lithuania",
NCT07064499,CGM Boosted by Artificial Intelligence for Better Glycaemic Control in T2 Diabetes,https://clinicaltrials.gov/study/NCT07064499,MAGIC-T2D,ACTIVE_NOT_RECRUITING,"Title: CGM Boosted by Artificial Intelligence for better glycaemic control in T2 Diabetes : a real-life multicenter observational study in Belgium - MAGIC-T2D

Background: In Belgium, since May 2023, reimbursement for continuous glucose monitoring systems has been extended to people with type 2 diabetes taking multiple injections of insulin. Despite the results of previous studies, the impact of this technology in terms of glycaemic control and patient-reported outcomes (PROMs) in real life for patients with type 2 diabetes is still unclear.

Objective: To evaluate the impact of the CGMs on glycemic control and PROMs in people living with type 2 diabetes under real-life conditions.

Methods and analysis: In a multicenter real-world observational study, more than 440 people with type 2 diabetes under multiple daily injection therapy who start to be monitored by a CGM in one of the 13 participating Belgian centers, will be followed for a period of 24 months.

Outcomes: The primary and secondary endpoint are respectively the evolution of time spent in range (defined as a sensor glucose value between 70 and 180 mg/dL) and HbA1c from before start to 12 months after start of the CGM.

Exploratory objectives will be studied using artificial intelligence (AI) to study glucose profiles to characterize the heterogeneity of type 2 diabetes.",NO,Diabete Type 2,,"Evolution of TIR (glucose 70-180 mg/dl) over a 12-month period after initiation of CGM in patients with T2D treated with MDI regimens., From registration to end of 1-year follow-up","Evolution of Hba1c over a 12-month period after initiation of CGM, From registration to end of 1-year follow-up","Evolution of TIR according to T2D endotypes as defined by Ahlqvist et al., From registration to end of 1-year follow-up",Erasme University Hospital,,ALL,"ADULT, OLDER_ADULT",,440,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,SRB2021470,2023-12-15,2026-07-31,2027-07-31,2025-07-14,,2025-07-14,"HUB-Hôpital ERASME, Brussels, 7850, Belgium",
NCT07064486,A Study of BGM0504 in Participants With Type 2 Diabetes in Indonesia,https://clinicaltrials.gov/study/NCT07064486,,RECRUITING,This trial is conducted in Indonesia. The aim of the trial is to evaluate the efficacy and safety of BGM0504 versus semaglutide as add-on to metformin in patients with type 2 diabetes,NO,Type 2 Diabetes (T2DM),DRUG: BGM0504|DRUG: BGM0504|DRUG: Semaglutide,"Change From Baseline in Hemoglobin A1c (HbA1c), Change from baseline in HbA1c after 24 weeks of treatment., Week 0 to Week 24","Change From Baseline in Hemoglobin A1c (HbA1c), Change from baseline in HbA1c after 12 weeks of treatment., Week 0 to Week 12|Change From Baseline in Body Weight, Change from baseline in body weight after 24 weeks of treatment., Week 0 to Week 24|Percentage of Participants With HbA1c Target Value of <7%, Percentage of Participants With HbA1c Target Value of \<7% after 24 weeks of treatment., Week 0 to Week 24|Percentage of Participants With HbA1c Target Value of <5.7%, Percentage of Participants With HbA1c Target Value of \<5.7%after 24 weeks of treatment., Week 0 to Week 24|Change From Baseline in Fasting Serum Glucose, Change from baseline in FPG after 24 weeks of treatment., Week 0 to Week 24",,"BrightGene Bio-Medical Technology Co., Ltd.",,ALL,"ADULT, OLDER_ADULT",PHASE3,477,INDUSTRY,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,BGM0504-Ⅲ-T2DM-02-IDN,2025-06-11,2026-03-28,2026-03-28,2025-07-14,,2025-07-14,"RS Universitas Indonesia, Depok, West Java, Indonesia|RSUP Fatmawati, Jakarta, Indonesia|RSUP Persahabatan, Jakarta, Indonesia|RSUPN Dr. Cipto Mangunkusumo, Jakarta, Indonesia",
